Codigo;CodigoOrigen;Concepto;Categoria;Proveedor;Producto;StockActual;STOCK ANAYA 2710;Ubicaci�n Anaya;STOCK CROCKER;Ubicaci�n Crocker;STOCK JUANICO;Ubicaci�n Juanico;OBSERV.; EN VIAJE;StockSeguridad;Stock M�ximo;Diferencia;"Bajo de stock ""BAJO"""; PRECIO FOB ;DTO; FOB FILSA ; PRECIO FOB FAC ;% COSTO ESTIMADO; COSTO ESTIMADO ; COSTO REAL$ ; COSTO REAL USD ; COEF. ; PRECIO DE LISTA USD ;NCM - NOMENCLATURA
1946;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1947;90010-227;BLUE-WHITE;ACC B PERISTALTICA;WATER PURIFICATION SUPPLIES;PLACA ELECTRONICA F-200RT FLUJ;1;1;1-E-06-03-02;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;; USD 292,23 ;; USD 584,00 ;
1948;90007-567;BLUE-WHITE;ACC B PERISTALTICA;WATER PURIFICATION SUPPLIES;PERNO SENSOR DE FLUJO DIG. B-W;0;;0;;;;;10;;8;12;12;BAJO;#N/A;0%;#N/A;;35%;#N/A;; USD 11,84 ;; USD 25,00 ;
1949;OXS105;PREPARADOR DE;EQUIPO OZONO;CLEAR WATER TECH LLC;PREPARADOR DE AIRE OXS;0;;0;;;;;;;0;0;0;; USD -   ;55%; USD -   ;;40,00%; -   ;$ 66.653,20; USD 1.666,33 ;0,9; USD -   ;
1950;P370;EQ OZONO;EQUIPO OZONO;CLEAR WATER TECH LLC;EQUIPO CD30 NX-SS,120-240V 50/60HZ,30GH;1;1;1-D51;;;;;1-D-05-01;;0;0;0;; USD 7.650,00 ;55%; USD 3.480,75 ;;40,00%;4.873,05;$ 157.825,24; USD 3.945,63 ;0,9; USD 6.885,00 ;
1951;IM140;REPUESTO INJ;ACC EQ OZONO;CLEAR WATER TECH LLC;INJ MANIFOLD-1.5 978;3;3;1-D51;;;;;1-D-05-01;;2;4;1;; USD 386,49 ;55%; USD 175,85 ;117;40,00%;246,19;$ 6.549,80; USD 163,75 ;1,2; USD 463,79 ;
1952;IM346;REPUESTO INJ;ACC EQ OZONO;CLEAR WATER TECH LLC;INJ MANIFOLD-2 1583;2;2;1-D51;;;;;1-D-05-01;;0;4;2;; USD 821,28 ;55%; USD 373,68 ;263;40,00%;523,16;$ 14.724,00; USD 368,10 ;1,2; USD 985,54 ;
1953;VO320;VENTURI #484-A;ACC EQ OZONO;CLEAR WATER TECH LLC;"VENTURI #484-A KYNAR 3/4"" MPT";2;2;1-D-05-02-01;;;;;1-D-05-01;;0;0;0;; USD 198,00 ;55%; USD 90,09 ;70;40,00%;126,13;$ 1.120,00; USD 28,00 ;1; USD 198,00 ;
1954;CCA1325SA;REPUESTO PLACA;ACC EQ OZONO;CLEAR WATER TECH LLC;PLACA MADRE CD10/CD12;5;5;1-D52-07;;;;;1-D-05-02-07;;6;12;7;BAJO; USD 463,79 ;55%; USD 211,02 ;127;40,00%;295,43;$ 7.078,80; USD 176,97 ;1; USD 463,79 ;
1955;146400;INSUMOS;TEST;DASTEC URUGUAY SRL;KIT MEDIDOR DE HIERRO HACH;0;;0;;;;;2;;1;2;2;BAJO;116;0%;116;;;;; USD 116,00 ;; USD 227,00 ;
1956;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;#N/A;#N/A;;35,00%;#N/A;; USD -   ;;#N/A;
1957;24125T24;EQ FILTRO / ABLANDADOR;ABLANDADOR;FILSA LTDA.;FILTRO / ABLANDADOR 24125T24;0;;0;;;;;;;;;0;;;;;;;;; USD 1.169,82 ;; USD 2.574,00 ;
1958;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1959;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1960;PP 3FX;BOMBA PROCON;TIPO PROCON;WATER PURIFICATION SUPPLIES;BOMBA PROCON 103 A100F11XX-S2;10;10;1-D-09-01;;;;;;;6;12;2;;139;0%;139;129;35%;187,65;; USD 161,00 ;; USD 230,00 ;
1961;;FILTRO;LECHO MIXTO;FILSA LTDA.;"FILTRO LECHO MIXTO 10""X2,5""";50;50;1-A-52;;;;;;;8;20;0;;;;;;;;$ 528,76; USD 13,22 ;; USD 26,00 ;
1962;;OSMOSIS INVERSA;Vac�o;FILSA LTDA.;OSMOSIS INVERSA DOM. 100GPD;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
1963;21150T00;EQ FILTRO / ABLANDADOR;ABLANDADOR;FILSA LTDA.;FILTRO / ABLANDADOR 21150T00;0;;0;;;;;;;;;0;;;;;;;;; USD 1.690,91 ;; USD 3.551,00 ;
1964;S5Q-PA;EQUIPO UV;EQUIPO UV;VIQUA;EQUIPO UV STERILIGHT S5Q;2;2;1-D-01-04;;;;;1-D-01-04;;4;8;6;BAJO;387;55%;174,15;174,15;50%;261,23;; USD 224,54 ;1,1; USD 425,70 ;
1965;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;55%;#N/A;;50%;#N/A;; USD 285,78 ;1,4;#N/A;
1966;;;EQUIPO UV;,;;0;;1-I;;;;;;;0;0;0;;#N/A;55%;#N/A;;50%;#N/A;; USD 849,95 ;1,4;#N/A;
1967;S1Q-DWS;FILTROS Y;EQUIPO UV;VIQUA;FILTROS Y UV SETERIL. S1Q-DWS;0;;0;;;;;1;;1;1;1;BAJO;#N/A;55%;#N/A;;50%;#N/A;; USD 274,96 ;1,4;#N/A;
1968;SC-320;EQUIPO UV;EQUIPO UV;VIQUA;EQUIPO UV STERILIGHT SC-320;1;1;1-D-01-04;;;;;1-D-01-04;;1;1;0;;#N/A;55%;#N/A;;50%;#N/A;; USD 545,34 ;1,4;#N/A;
1969;140141-12PK / S287RL;LAMPARA;ACC EQUIPO UV;VIQUA - LUMINOR;LAMP. UV STERILIGHT S287RL (1 galon) 1Q;9;9;1-D-1-2;;;;;1-D-02-02;;2;6;0;;92,56;65%;32,4;35,1;50%;48,59;$ 1.840,00; USD 46,00 ;1,5; USD 138,84 ;
1970;S320RL-HO;LAMPARA;ACC EQUIPO UV;VIQUA;LAMP. UV STERILIGHT S320RLHO;15;15;1-D-1-2;;;;;1-D-01-02;;2;6;0;; USD 143,00 ;55%;64,35;54,9;50%;96,53;$ 3.680,40; USD 92,01 ;1,5; USD 214,50 ;
1971;QS-001;CUARZO;ACC EQUIPO UV;VIQUA;TUBO CUARZO STERILIGHT QS01;2;2;1-D-01-03;;;;;1-D-01-03;;2;6;4;;40;55%;18;;50%;27;$ 771,20; USD 19,28 ;1,5; USD 60,00 ;
1972;QS-810;CUARZO;ACC EQUIPO UV;VIQUA;TUBO CUARZO STERILIGHT QS810 - 8Q;4;4;1-D-01-03;;;;;1-D-01-03;;2;6;2;;44;55%;19,8;;50%;29,7;$ 998,00; USD 24,95 ;1,5; USD 66,00 ;
1973;QS-463;CUARZO;ACC EQUIPO UV;VIQUA;TUBO CUARZO STERILIGHT QS463 - 5Q;6;6;1-D-01-03;;;;;1-D-01-03;;2;6;0;;40;55%;18;;50%;27;$ 1.046,00; USD 26,15 ;1,5; USD 60,00 ;
1974;QS-320;CUARZO;ACC EQUIPO UV;VIQUA;TUBO CUARZO STERILIGHT QS32;6;6;1-D-01-03;;;;;1-D-01-03;;2;6;0;;60;55%;27;;50%;40,5;$ 1.546,80; USD 38,67 ;1,5; USD 90,00 ;
1975;BA-ICE-C;IMPEDANCIA;ACC EQUIPO UV;VIQUA;IMPEDANCIA UV STERILIG. BAICEC;5;5;1-D-22-03;;;;;1-D-02-01;;4;6;1;;387;55%;174,15;;50%;261,23;; USD 285,66 ;1,11; USD 429,57 ;
1976;SPC-ICE-HO;IMPEDANCIA;ACC EQUIPO UV;VIQUA;IMPEDANCIA UV STER. SPCICEHO (950);10;10;1-D-22-02;;;;;1-D-02-01;;2;4;0;; USD 844,00 ;55%;379,8;;50%;569,7;; USD 583,00 ;1; USD 844,00 ;
1977;254NM-FP1;SENSOR equipo UV;ACC EQUIPO UV;VIQUA;SENSOR UV STERLIGHT;6;6;1-D-22-02;;;;;1-D-02-01;;0;0;0;; USD 540,00 ;55%;243;227,25;40%;340,2;; USD 306,00 ;1,2; USD 648,00 ;
1978;S2Q-PA;EQUIPO UV;EQUIPO UV;VIQUA;EQUIPO UV STERILIGHT S2Q;0;;1-D-01-04;;;;;1-D-01-04;;2;6;6;BAJO;359;55%;161,55;161,55;50%;242,33;; USD 208,29 ;1; USD 359,00 ;
1979;140142-12PK / S330RL;LAMPARA;ACC EQUIPO UV;VIQUA - LUMINOR;LAMP. UV STERILIGHT S330RL - 2Q;19;19;1-D-1-2;;;;;1-D-01-02;;5;10;0;; USD 95,77 ;65%;33,52;36,5;50%;50,28;$ 1.880,00; USD 47,00 ;1,2; USD 114,92 ;8539,49
1980;QS-330;CUARZO;ACC EQUIPO UV;VIQUA;TUBO CUARZO STERILIGHT QS330 - 2Q;9;9;1-D-1-2;;;;;1-D-01-03;;0;0;0;;45;55%;20,25;;50%;30,38;$ 1.053,00; USD 26,33 ;1,5; USD 67,50 ;7002,31
1981;V3069FF-01;VALVULA - MAV;ACC. VALVULAS CLACK;CLACK CORPORATION;MOTOR ALT. VALV. 1.125 FF;1;1;1-D-04-01;;;;;1-E-10-02;4;5;10;9;BAJO; USD 258,96 ;0,32; USD 82,87 ;73,36;35,00%;111,87;$ 4.800,00; USD 120,00 ;1; USD 258,96 ;
1982;V3007-08;ACCESORIOS - VALVULA;ACC. VALVULAS CLACK;CLACK CORPORATION - caja 24;"CONECTOR RECTO C/ROSCA 1.25""";15;15;1-D-43-12;;;;;1-D-03-04;;20;30;15;BAJO; USD 18,83 ;0,39; USD 7,34 ;5,33;35,00%;9,91;$ 388,40; USD 9,71 ;1,35; USD 25,42 ;
1983;V3007-06;ACCESORIOS;ACC. VALVULAS CLACK;CLACK CORPORATION - caja 24;"CONECTOR RECTO C/ROSCA 1""BSPT";0;;0;;;;;5;;0;0;0;; USD 17,56 ;0,39; USD 6,85 ;5,89;35,00%;9,25;$ 312,76; USD 7,82 ;1,35; USD 23,71 ;
1984;V3887;ACCESORIOS - NHW;ACC TANQUES FIBRA;CLACK CORPORATION;"ENSAMBLE SELLOS CANASTA NHW 2""";10;10;D-42-08;;;;;;;2;4;0;; USD 30,75 ;0,39; USD 11,99 ;9,55;35,00%;16,19;$ 600,00; USD 15,00 ;1,35; USD 41,51 ;
1985;V3818TC-2TO4BRD;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;PLACA ELECTRONICA P/VALWS1.125;0;;1-D-43-09;;;;;;;0;0;0;; USD 100,78 ;0,32; USD 32,25 ;25,04;35,00%;43,54;$ 1.192,12; USD 29,80 ;1,25; USD 125,98 ;
1986;V3886;ACCESORIOS - NHW;ACC. VALVULAS CLACK;CLACK CORPORATION;"ENSAMBLE SELLOS CANASTA NHW 1,5""";10;10;1-D-04-03-02;;;;;1-D-04-03-02;;0;0;0;; USD 22,81 ;0,32; USD 7,30 ;;35,00%;9,85;; USD 50,42 ;1,35; USD 30,79 ;
1987;V3725;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;PISTON DOWNFLOW ASY WS2;1;1;1-D-42-07;;;;;1-D-04-03-02;;10;20;19;BAJO; USD 69,88 ;0,32; USD 22,36 ;18,12;35,00%;30,19;$ 1.251,56; USD 31,29 ;1,25; USD 87,35 ;
1988;;;Vac�o;,;;0;;0;;;;;;;0;0;0;; USD 14,45 ;0,39; USD 5,64 ;5,17;35,00%;7,61;$ 235,64; USD 5,89 ;1,35; USD 19,51 ;
1989;DKSHL30TM2S;DIFUSORES;ACC TANQUES FIBRA;CLACK CORPORATION;"DISTRIBUIDOR ESTRELLA 30 2""";0;;0;;;;;5;;5;10;10;BAJO; USD 153,26 ;0,39; USD 59,77 ;45,77;35,00%;80,69;$ 2.623,80; USD 65,60 ;1,45; USD 222,23 ;
1990;D1200-03;DIFUSORES;ACC TANQUES FIBRA;CLACK CORPORATION;CANASTA SUPERIOR FT 2IN;0;;0;;;;;40;;40;80;80;BAJO; USD 60,59 ;0,39; USD 23,63 ;18,09;35,00%;31,9;$ 1.012,80; USD 25,32 ;1,45; USD 87,86 ;
1991;H4600;ACCESORIOS - SALMUERA;ACC. T. SALMUERA;CLACK CORPORATION;VALVULA SALMUERA 474;15;15;1-D-42-01;;;;;1-E42-01;24;15;30;15;; USD 17,06 ;0,39; USD 6,65 ;5,25;35,00%;8,98;$ 305,88; USD 7,65 ;1,35; USD 23,03 ;
1992;H4640-32;ACCESORIOS - SALMUERA;ACC. T. SALMUERA;CLACK CORPORATION;FLOTADOR P/VALV. 474;46;46;1-D-44;;;;;;24;15;30;0;; USD 7,42 ;0,39; USD 2,89 ;2,25;35,00%;3,91;$ 135,36; USD 3,38 ;1,35; USD 10,02 ;
1993;H4500-48;ACCESORIOS - SALMUERA;ACC. T. SALMUERA;CLACK CORPORATION;AIRCHECK P/VALV. 474;17;17;C-07-03;;;;;;24;15;30;13;; USD 9,77 ;0,39; USD 3,81 ;3,01;35,00%;5,14;$ 175,36; USD 4,38 ;1,35; USD 13,19 ;
1994;JC10-4-4NPG;ACCESORIOS;CONECTORES JACO;CLACK CORPORATION;CONECTOR MACHO 1/4 X 1/4 NYLON;0;;0;;;;;;;0;0;0;; USD 0,88 ;0,48; USD 0,42 ;0,37;35,00%;0,57;$ 24,00; USD 0,60 ;; USD 1,11 ;8421,99
1995;JC50-4NPG;ACCESORIOS;CONECTORES JACO;CLACK CORPORATION;CODO UNION 1/4 X 1/4 NYLON;0;;0;;;;;;;20;80;80;BAJO;#N/A;#N/A;#N/A;;35,00%;#N/A;$ 41,60; USD 1,04 ;; USD 1,95 ;
1996;JC60-8-6NPG;ACCESORIOS;CONECTORES JACO;CLACK CORPORATION;TEE MACHO 1/2 ROSCA 3/8 NYLON;0;;1-A-4-1;;;;;;;0;0;0;;#N/A;#N/A;#N/A;;35,00%;#N/A;$ 37,20; USD 0,93 ;;#N/A;
1997;JC70-4-NPG;ACCESORIOS;CONECTORES JACO;CLACK CORPORATION;"TEE UNION 1/4"" NYLON";0;;0;;;;;;;20;50;50;BAJO;#N/A;#N/A;#N/A;;35,00%;#N/A;$ 54,40; USD 1,36 ;; USD 2,58 ;
1998;;;EQUIPO OZONO;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;40,00%;#N/A; $ -   ; USD -   ;1,95;#N/A;
1999;CD287;REPUESTO CAMARA;ACC EQ OZONO;CLEAR WATER TECH LLC;CAMARA REACCION CD300;1;1;1-D-05-02-01;;;;;;;1;4;3;; USD -   ;55%; USD -   ;;40,00%; -   ;$ 2.824,80; USD 70,62 ;1; USD -   ;
2000;ASP115A;KIT MANTENIMIENTO;ACC EQ OZONO;CLEAR WATER TECH LLC;KIT MANT. EQ OZONIZADOR CD12AD;7;7;1-D52-09;;;;;1-D-05-02-09;;10;20;13;BAJO; USD 181,18 ;55%; USD 82,44 ;64;40,00%;115,41;$ 3.450,68; USD 86,27 ;1,2; USD 217,42 ;
2001;CKV22;REPUESTO VALVULA;ACC EQ OZONO;CLEAR WATER TECH LLC;"VALVULA UNIDIRECCIONAL 1/4""";10;10;1-D52-05;;;;;1-D-05-02-05;;4;12;2;; USD 43,49 ;50%; USD 21,96 ;14;40,00%;30,75;$ 1.104,56; USD 27,61 ;1,2; USD 52,19 ;
2002;DRM10;DRIVE MODULE;ACC EQ OZONO;CLEAR WATER TECH LLC;DRIVE MODULE-STANDARD DRIVE AS;2;2;1-D52-05;;;;;1-D-05-02-05;;1;3;1;; USD 540,00 ;50%; USD 272,70 ;206;40,00%;381,78;$ 10.057,60; USD 251,44 ;1,2; USD 648,00 ;
2003;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;#N/A;#N/A;;35,00%;#N/A;$ 43.888,00; USD 1.097,20 ;;#N/A;
2004;;INSUMOS;Vac�o;GRANDE SA;ABRAZADERA PARA MANGUERA DIALISIS;0;;0;;;;;;;;;0;;;;;;;;$ 30,00; USD 0,75 ;;;
2005;;EQ OSMOSIS;OSMOSIS;;OSMO PO - 100 LH INDUSTRIAL ;0;;0;;;;;;;;;0;;;;;;;;; USD 2.604,07 ;; USD 4.427,00 ;
2006;;EQ OSMOSIS;OSMOSIS;;OSMO PO - 100 LH DIALISIS;2;;0;;;;;;;;;0;;;;;;;;; USD 2.975,99 ;; USD 6.250,00 ;
2007;;EQ OSMOSIS;OSMOSIS;;OSMO PO - 200 LH INDUSTRIAL ;0;;0;;;;;;;;;0;;;;;;;;; USD 2.827,90 ;; USD 4.808,00 ;
2008;;EQ OSMOSIS;OSMOSIS;;OSMO PO - 200 LH DIALISIS;0;;0;;;;;;;;;0;;;;;;;;; USD 3.299,48 ;; USD 6.929,00 ;
2009;ROC-2315 1,0CM-1 CON1134-13;CONTROLADORES;CONTROLADOR;CREATE INSTRUMENTATION;CONTROL M - 1 PUNTA CONDUCTIV 0-200 uS/cm;3;3;1-E-08-02;;;;;1 rodri;;2;4;1;; USD 110,00 ;0%; USD 110,00 ;110;30%;143;; USD 163,93 ;; USD 410,00 ;9027,80,99,00
2010;ROC-8221;CONTROLADORES;CONTROLADOR;CREATE INSTRUMENTATION;CONDUCTIMETRO CONTROL M - 2 PUNTAS;15;15;D-92;;;;;1-E-07-03;;10;20;5;; USD 140,00 ;0%; USD 140,00 ;165;30%;182;; USD 236,00 ;; USD 468,00 ;9027,80,99,00
2011;CHLF 2-40;BOMBA MULTIETAPA;HORIZONTAL;EMESSE UNI-CORPORATION;BOMBA MULTIETAPA HOR CHLF 2-40;10;;0;10;;;;;;0;0;0;;;;;;;;; USD 132,74 ;;;
2012;CDL 2-110;BOMBA MULTIETAPA;VERTICAL;EMESSE UNI-CORPORATION;BOMBA MULTIETAPA VER CDL2-110;7;;0;;;7;;;;0;0;0;;;;;;;;; USD 326,12 ;;;
2013;PPF-17-25MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;TE C/ROSCA HEMBRA 25MM;200;200;1-G-3-1;;;;;;;;;0;;0,7;0,00%;0,7;;;;; USD 1,00 ;3; USD 2,10 ;
2014;PPF-17-32MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;TE C/ROSCA HEMBRA 32MM;180;180;1-G-02-01;;;;;;;;;0;;1,1;0,00%;1,1;;;;; USD 2,00 ;4; USD 4,40 ;
2015;PPF-18 - 25MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;CONECTOR RECTO C/ROSCA HEMBRA 25MM;200;200;1-G-04-01;;;;;;;;;0;;0,5;0,00%;0,5;;;;; USD 1,00 ;4; USD 2,00 ;
2016;PPF-18 - 32MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;CONECTOR RECTO C/ROSCA HEMBRA 32MM;176;176;1-G-0401;;;;;;;;;0;;0,6;0,00%;0,6;;;;; USD 1,00 ;4; USD 2,40 ;
2017;PPF-19 - 25MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;VALVULA DOBLE UNION 25MM;25;25;D54;;;;;;;;;0;;1,3;0,00%;1,3;;;;; USD 5,00 ;4; USD 5,20 ;
2018;09100T00;EQ FILTRO / ABLANDADOR;ABLANDADOR;FILSA LTDA.;FILTRO / ABLANDADOR 09100T00;1;1;1-I;;;;;;;2;6;5;BAJO;;;;;;;; USD 419,83 ;; USD 924,00 ;
2019;09100T14;EQ FILTRO / ABLANDADOR;ABLANDADOR;FILSA LTDA.;FILTRO / ABLANDADOR 09100T14;0;;0;;;;;;;;;0;;;;;;;;; USD 470,70 ;; USD 1.036,00 ;
2020;PPF-19 - 32MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;VALVULA DOBLE UNION 32MM;25;25;1-D-09-01-01;;;;;;;;;0;;4,4;0,00%;4,4;;;;; USD 6,00 ;4; USD 17,60 ;
2021;PPF-19 - 40MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;VALVULA DOBLE UNION 40MM;25;25;1-G-04-01;;;;;;;;;0;;5,9;0,00%;5,9;;;;; USD 8,00 ;4; USD 23,60 ;
2022;PPF-19 - 50MM;CA�O PVC;ACC CA�ERIA PVC;HIDROTEK;VALVULA DOLBE UNION 50MM;25;25;0;;;;;;;;;0;;10;0,00%;10;;;;$ 560,00; USD 14,00 ;4; USD 40,00 ;
2023;12100T00;EQ FILTRO / ABLANDADOR;ABLANDADOR;FILSA LTDA.;FILTRO / ABLANDADOR 12100T00;1;1;1-I;;;;;;;2;4;3;BAJO;;;;;;;; USD 424,13 ;; USD 934,00 ;
2024;J6450;TANQUE - SALMUERA;TANQUE SALMUERA;CLACK CORPORATION;TANQUE SALMUERA 14X14X34 COMPL;36;;0;;;36;;;;0;0;0;; USD 93,88 ;0,34; USD 31,92 ;29,56;35,00%;43,09;; USD 45,00 ;2; USD 187,77 ;
2025;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;#N/A;#N/A;;35,00%;#N/A;; USD -   ;;#N/A;
2026;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
2027;V2540;PORTA MEMBRANA;PM 2.5X40;WATER PURIFICATION SUPPLIES;"PORTA MEMB INOXIDABLE 2.5""x40""";1;1;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;$ 3.171,20; USD 79,28 ;; USD 180,00 ;
2028;MB-2540;MEMBRANAS;M 2.5X21;WATER PURIFICATION SUPPLIES;"MEMBRANA CSM-MB-2540 2.5""x40""";1;1;1-D-73;;;;;1-D-07-01;;2;4;3;BAJO; USD 145,00 ;0%; USD 145,00 ;;35%;195,75;$ 7.840,00; USD 196,00 ;; USD 385,00 ;
2029;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;$ 30.297,60; USD 757,44 ;; USD -   ;
2030;;VALVULA UNIDIRECCIONAL;Vac�o;BAKO S.A.;"VALVULA UNIDIRECCIONAL 1/2"" INOX";0;;0;;;;;;;;;0;;;5%;;;;;$ 800,00; USD 20,00 ;1,3; USD 26,00 ;
2031;B2-10;SOPORTE U;SOPORTE;WATER PURIFICATION SUPPLIES;SOPORTE U FILTRO DOBLE (1014);20;20;1-E-09-02;;;;;1-E-09-02;;20;40;20;;#N/A;0%;#N/A;;35%;#N/A;$ 116,80; USD 2,92 ;; USD 10,00 ;
2032;B1-10;CARCASA ;SOPORTE;WATER PURIFICATION SUPPLIES;"SOPORTE L DISPENSADOR 2,5""";44;44;1-E-09-02;;;;;1-E-09-02;;20;50;6;;2;0%;2;1,4;35%;2,7;$ 120,00; USD 3,00 ;6; USD 12,00 ;
2033;12100T18;EQ FILTRO / ABLANDADOR;ABLANDADOR;FILSA LTDA.;FILTRO / ABLANDADOR 12100T18;0;;0;;;;;;;;;0;;;;;;;;; USD 501,70 ;; USD 1.104,00 ;
2034;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;; USD -   ;
2035;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
2036;DVR410300-00;KIT DE;Vac�o;LESA S.A;KIT DE DIAFRAGMA DOSIVAC;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
2037;DVB411791-PE;VALVULA DE;Vac�o;LESA S.A;VALVULA DE INYECCION DOSIVAC;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
2038;DVB410576PE;VALVULA DE;Vac�o;LESA S.A;VALVULA DE PURGA DOSIVAC;0;;0;;;;;;;;;0;;;;;;;;; USD 20,00 ;;;
2039;DVB411351PE;VALVULA DE;Vac�o;LESA S.A;VALVULA DE SUCCION DOSIVAC;0;;0;;;;;;;;;0;;;;;;;;; USD 20,00 ;;;
2040;36x72 - Tripod Base;TANQUE -FIBRA;36x72;CLACK CORPORATION;TANQUE FIBRA DE VIDRIO 36x72 TRIPOD;4;;0;;;3;;;;2;4;0;; USD 3.394,00 ;0,34; USD 1.153,96 ;970,99;35,00%;1.557,85;$ 22.400,00; USD 560,00 ;0,75; USD 2.545,50 ;
2041;42x72 - Tripod Base;TANQUE -FIBRA;42x72;CLACK CORPORATION;TANQUE FIBRA DE VIDRIO 42x72 TRIPOD;3;;0;;;3;;;;2;4;1;; USD 4.929,00 ;0,34; USD 1.675,86 ;1.410,38;35,00%;2.262,41;$ 76.160,52; USD 1.904,01 ;0,6; USD 2.957,40 ;
2042;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
2043;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
2044;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
2045;;;Vac�o;,;;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;; USD -   ;
2046;V3079BSPT;ACCESORIOS - VALVULA;ACC. VALVULAS CLACK;CLACK CORPORATION;WS DLFC ASY  FBSPT (ws15);9;9;1-D-42-13;;;;;;2;10;20;11;BAJO; USD 187,87 ;0,32; USD 60,12 ;53,22;35,00%;81,16;$ 3.520,00; USD 88,00 ;1,35; USD 253,62 ;
2047;V3080BSPT;ACCESORIOS - VALVULA;ACC. VALVULAS CLACK;CLACK CORPORATION;WS DLFC ASY  FBSPT (ws2);11;11;1-D-42-13;;;;;;3;10;20;9;; USD 195,39 ;0,32; USD 62,52 ;58,36;35,00%;84,41;$ 3.600,00; USD 90,00 ;1,35; USD 263,78 ;
2048;V3051-BSPT;ACCESORIOS - VALVULA;ACC. VALVULAS CLACK;CLACK CORPORATION;WS2 DLFC ASY BSPT (ws2h);8;8;1-D-42-05;;;;;;;10;20;12;BAJO; USD 315,68 ;0,32; USD 101,02 ;60,7;35,00%;136,37;$ 4.812,28; USD 120,31 ;1,35; USD 426,17 ;
2049;RO600P`;EQUIPO OSMOSIS;OSMOSIS;WATER PURIFICATION SUPPLIES;EQUIPO OSMOSIS 600 GPD;1;1;0;;;;;;;2;6;5;BAJO;685;0%;685;685;40%;959;; USD 960,00 ;2,5; USD 1.712,50 ;
2050;V4428;;Vac�o;CLACK CORPORATION;KIT UPGRADE WS2H;0;;0;;;;;;2;0;0;0;;1.345,93;0,32;430,7;;35%;581,44;;;1; USD 1.345,93 ;
2051;PI480822S;CODO C;ACC CA�ERIA JG;JOHN GUEST;CODO C/ROSCA 1/4 - 1/4;140;140;1-G-01-03;;;;;1-G-03-03;;50;100;0;;3,09;0,4;1,24;1,06;40%;1,73;; USD 5,05 ;1,3; USD 4,02 ;
2052;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;;;; USD -   ;
2053;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;;;; USD -   ;
2054;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;; USD 229,98 ;; USD -   ;
2055;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;; USD 196,16 ;; USD -   ;
2056;PP 4F;REPUESTO BOMBA;TIPO PROCON;WATER PURIFICATION SUPPLIES;BOMBA PROCON 114A330F11XX-S4;1;1;1-D-09-01-01;;;;;;;2;4;3;BAJO;#N/A;0%;#N/A;130;35%;#N/A;; USD 150,82 ;; USD 340,00 ;
2057;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;; USD 83,63 ;; USD -   ;
2058;;;Vac�o;,;;0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;; USD 83,63 ;; USD -   ;
